"","^GSPC","NVDA","AAPL","MSFT","AVGO","AMD","NOW","GOOG","META","NFLX","VZ","DIS","T","V","JPM","MS","GS","BAC","SCHW","AMZN","TSLA","MCD","SBUX","HD","EBAY","LLY","NVO","UNH","JNJ","AMGN","PFE"
"VZ",0.000887584493168987,0.000229112079198851,0.000661808077962011,0.000507648144805072,0.000441574343084634,0.00128331229192109,0.000164207384735928,0.00057514305007677,0.000851532402496163,0.000170339359997348,0.00189817139882702,0.0011777492715786,0.00110695393829489,0.00120594612356429,0.000818170041976592,0.00102695870599445,0.000969898244005676,0.00103246380801091,0.00054626877245996,0.000673305531357421,0.00163515978315437,0.00104474145602637,0.000820403886391979,0.000925450553542032,0.000291580745902216,0.000438680161098252,0.0004591258051525,0.00102197068244572,0.00112131630885416,0.00112582982665355,0.00106279499218664
"DIS",0.00238268417552391,0.000224249189889259,0.00221328984950357,0.00176343169028241,0.00270665327438961,0.00292870348221351,0.00234387310719023,0.00230965938640617,0.00289463416301737,0.00132533256299788,0.0011777492715786,0.00663057083708883,0.00191783056942426,0.00312005491629021,0.00392616872827163,0.00499366153057271,0.00454553092383716,0.00416002382493196,0.0039522027015157,0.00158210819030929,0.00401568813691958,0.00138034609456858,0.00297090100531236,0.00129257906892292,0.0016825070038439,0.000718021201823157,0.0002433051536681,0.00188485548157288,0.00196795710651424,0.00124447706699822,0.00089671526570331
"T",0.00147434950992315,0.000107955668633945,0.00117876261214169,0.000667861446139576,0.00116525944362861,0.00166714213471728,0.000813010235729473,0.00125806690175292,0.0016770692140481,0.000225914134368352,0.00110695393829489,0.00191783056942426,0.00288054195689705,0.00158877165474308,0.00178552618500509,0.00207686172286063,0.00220726147238445,0.00221728913843482,0.00144624387644697,0.000635302181717378,0.00143869431669004,0.000952519749758701,0.00136649271415937,0.00186914584657829,0.00163380779106108,0.000367121781274453,0.000264337819547297,0.000876303910800615,0.00100430300723528,0.00135023721302325,0.000874385826683509
"V",0.00194543854804718,0.00209726236340632,0.0024771713912323,0.00168713242624837,0.00205719715216365,0.00324622918436865,0.00211564021780613,0.00205579715481461,0.0025755441768744,0.00172720295346574,0.00120594612356429,0.00312005491629021,0.00158877165474308,0.0038092385808934,0.00201982673966049,0.00307580209577439,0.00266268423189283,0.00241256545897399,0.00159549066993328,0.00219018106152996,0.00322764470261068,0.00165525695916506,0.00241665847614217,0.00158963651455407,0.00135564581573635,0.000477361776153897,0.00104361817977439,0.0016460264194938,0.00152902806286906,0.00155248818427487,0.000935301652773436
"JPM",0.00227831745578387,0.00126537579698418,0.00162003376425349,0.00144325648805765,0.00171343198877913,0.00323306219699756,0.00152852697060167,0.00233724310756752,0.00231324258433759,0.00102631993208941,0.000818170041976592,0.00392616872827163,0.00178552618500509,0.00201982673966049,0.00488365650495194,0.00513272267335176,0.0048545481311115,0.0053593128651409,0.00413744059179873,0.00140283570949962,0.00318071098902782,0.001014514031177,0.0019682072956992,0.0015336150684386,0.00202123378493797,0.000405913685103538,0.000249709564725204,0.00180916444747079,0.00169581144872508,0.00111166911773414,0.00120598827145994
"MS",0.00308721416459875,0.00305172782917571,0.0032100301284314,0.00244104432332142,0.0031276577832633,0.00340489981622862,0.00292649607789817,0.00342884183708419,0.00375025225738668,0.00189158818584735,0.00102695870599445,0.00499366153057271,0.00207686172286063,0.00307580209577439,0.00513272267335176,0.00717315993365227,0.00647159377710664,0.00583330367937206,0.00453600292172055,0.00232063143117233,0.00648855756448151,0.00136559754331543,0.00260642833564167,0.00213165688132492,0.00354619507802282,0.00118292940667655,0.00105384731805886,0.00231866811944798,0.0021657306060447,0.00133429239152409,0.00134992754865896
"GS",0.00300741690067299,0.00316359640905684,0.00332780265301454,0.00214181315284117,0.00254475661333285,0.00327285809785832,0.00301561852979267,0.00322627178793563,0.00367017151361651,0.00201463397121552,0.000969898244005676,0.00454553092383716,0.00220726147238445,0.00266268423189283,0.0048545481311115,0.00647159377710664,0.00730770961900417,0.00596822440197924,0.00463890744208876,0.00210451598531617,0.00598125384716151,0.00125037422351488,0.00243773035315508,0.00211430072672528,0.00401111724230951,0.00156356006481459,0.000994250929442848,0.00223900723880979,0.00219033994587597,0.00128043319276969,0.00117895271969189
"BAC",0.00297605081489089,0.00254897226196552,0.00239047242052852,0.0020557551749972,0.00240864378859555,0.00414090291516518,0.00237944465758868,0.00303380915217578,0.00341839294059988,0.0021490071675475,0.00103246380801091,0.00416002382493196,0.00221728913843482,0.00241256545897399,0.0053593128651409,0.00583330367937206,0.00596822440197924,0.00676395585994233,0.00506477632368807,0.00241127166470247,0.00462448995515997,0.00132414850787535,0.0023731505141188,0.00241123271444842,0.00346118854661574,0.000445535236048298,0.00062178151675196,0.00267444959358707,0.00204051594391425,0.00155283352028817,0.00156115264245816
"SCHW",0.00209714665971283,0.00143243162091247,0.00089283743589626,0.00110228380075315,0.00198448373394184,0.00128497629082296,0.00212062023385124,0.00256472268192739,0.00245497110646848,0.00129384569288278,0.00054626877245996,0.0039522027015157,0.00144624387644697,0.00159549066993328,0.00413744059179873,0.00453600292172055,0.00463890744208876,0.00506477632368807,0.00659126762067481,0.00111654291751937,0.00226600715083397,0.00089342464372163,0.00193465192009626,0.00112120472555472,0.00187886366639144,0.000201188666598963,-8.99287028888527e-05,0.00224629286603324,0.00104605077495436,0.000325248805837907,0.000758164004585935
"AMZN",0.00219959142447883,0.00531595286769993,0.0037528272798724,0.00296118170229639,0.00162730297600287,0.0072939733917102,0.00368753477996417,0.00278721717652789,0.00390063852120224,0.00491729569682966,0.000673305531357421,0.00158210819030929,0.000635302181717378,0.00219018106152996,0.00140283570949962,0.00232063143117233,0.00210451598531617,0.00241127166470247,0.00111654291751937,0.00647048600306916,0.00549961259559575,0.00107916502389945,0.00120835405297097,0.00238602144289724,0.00285401967601371,0.000420914234700916,0.000987262767889101,0.00210946685506172,0.00144387289726228,0.00138357721864454,0.00153012123236565
"TSLA",0.00397001833446649,0.00742002444903916,0.00856351790588043,0.00481853466185449,0.00385700619151326,0.00617785264636467,0.00565375432256952,0.00476775665161248,0.00499278562706354,0.00456628406975361,0.00163515978315437,0.00401568813691958,0.00143869431669004,0.00322764470261068,0.00318071098902782,0.00648855756448151,0.00598125384716151,0.00462448995515997,0.00226600715083397,0.00549961259559575,0.0389352738050337,0.00333068090438613,0.00201483201744899,0.00386567902444698,0.00423235046337742,0.00236754535021458,0.00199715956291843,0.00344085836180726,0.00322110386761025,0.00228178362237642,0.00203735814160808
"MCD",0.00120077323853632,0.000102966761057643,0.00122143180299947,0.000930072418470547,0.00121869563065791,0.000489856998005276,0.00121615311759018,0.00114473579175939,0.00153189519980735,-0.000407017345614483,0.00104474145602637,0.00138034609456858,0.000952519749758701,0.00165525695916506,0.001014514031177,0.00136559754331543,0.00125037422351488,0.00132414850787535,0.00089342464372163,0.00107916502389945,0.00333068090438613,0.00249137938075003,0.00198005450818181,0.00165560395739671,0.000754773524942794,-6.02858774056984e-05,0.000580345147403695,0.00114864588218085,0.00138914836182089,0.00080324987731841,0.00107553217561754
"SBUX",0.00165292378756323,0.000625811005272761,0.00163792371808825,0.000950743241750392,0.00225680089543755,0.00201260650598604,0.00150388235323014,0.0018202697732883,0.00166883872454764,-0.000792194629002505,0.000820403886391979,0.00297090100531236,0.00136649271415937,0.00241665847614217,0.0019682072956992,0.00260642833564167,0.00243773035315508,0.0023731505141188,0.00193465192009626,0.00120835405297097,0.00201483201744899,0.00198005450818181,0.00448156219274767,0.00127673886503605,0.00118650605891215,0.000240712738201451,0.000718305675614669,0.00133780326283863,0.0014839889437309,0.000956271837051962,0.00145749640418651
"HD",0.00197204990665122,0.00272671743115978,0.00193148519080597,0.00164880531756481,0.00176187841525686,0.00387772661274625,0.00151023481062927,0.00203905333496367,0.00278816135577718,0.00114031026648727,0.000925450553542032,0.00129257906892292,0.00186914584657829,0.00158963651455407,0.0015336150684386,0.00213165688132492,0.00211430072672528,0.00241123271444842,0.00112120472555472,0.00238602144289724,0.00386567902444698,0.00165560395739671,0.00127673886503605,0.00395936971810442,0.00249438055553706,-7.33901946585859e-05,0.000950197852910463,0.00165166801103924,0.00110784198113057,0.00153957788185101,0.0017443887697437
"EBAY",0.00224240814708767,0.00379474267407806,0.0023060964403572,0.00221252679126099,0.00224305016394483,0.00330228087192822,0.00382247697499585,0.00213174038915774,0.00375293269097459,0.00352101839795463,0.000291580745902216,0.0016825070038439,0.00163380779106108,0.00135564581573635,0.00202123378493797,0.00354619507802282,0.00401111724230951,0.00346118854661574,0.00187886366639144,0.00285401967601371,0.00423235046337742,0.000754773524942794,0.00118650605891215,0.00249438055553706,0.00756112832880791,0.0015687332412739,0.000838165489876952,0.00116337326605558,0.0013444695192854,0.00197043978006298,0.000460879227873325
"LLY",0.000729189255894103,-0.000342258866523953,0.000938682221345711,0.0012115375337491,0.00104792979077604,0.00225057504592319,0.000506557921273047,0.000562129152668808,-0.000755974950010246,-0.000295338966263013,0.000438680161098252,0.000718021201823157,0.000367121781274453,0.000477361776153897,0.000405913685103538,0.00118292940667655,0.00156356006481459,0.000445535236048298,0.000201188666598963,0.000420914234700916,0.00236754535021458,-6.02858774056984e-05,0.000240712738201451,-7.33901946585859e-05,0.0015687332412739,0.00517505555866393,0.00152041304554566,0.00106352114154644,0.0017213092839959,0.00192631676553054,0.000931829899905183
"NVO",0.000881265977185074,0.00246174052933311,0.000829179699997318,0.00135146473065774,0.00115407052561399,0.00113495806203193,0.00118656333418088,0.00132614382093668,0.000310277337276736,0.000472374082135381,0.0004591258051525,0.0002433051536681,0.000264337819547297,0.00104361817977439,0.000249709564725204,0.00105384731805886,0.000994250929442848,0.00062178151675196,-8.99287028888527e-05,0.000987262767889101,0.00199715956291843,0.000580345147403695,0.000718305675614669,0.000950197852910463,0.000838165489876952,0.00152041304554566,0.00310868100374483,0.00127321794005246,0.00105064294564623,0.000894149653233889,0.000724984319834628
"UNH",0.0017286504551051,0.0013670094574713,0.00155097183592043,0.00140986093738738,0.00160874310519124,0.0035983344799028,0.00117282902888303,0.0017901564508675,0.00246440025965489,0.00145104249098058,0.00102197068244572,0.00188485548157288,0.000876303910800615,0.0016460264194938,0.00180916444747079,0.00231866811944798,0.00223900723880979,0.00267444959358707,0.00224629286603324,0.00210946685506172,0.00344085836180726,0.00114864588218085,0.00133780326283863,0.00165166801103924,0.00116337326605558,0.00106352114154644,0.00127321794005246,0.00434166191634556,0.0016805817020236,0.00212673191896387,0.00203759731822448
"JNJ",0.0014827988604407,0.000960356774927575,0.00190204566546333,0.00128183294507375,0.00161638101297821,0.00226876118819217,0.00106112967288508,0.00108611469720904,0.00140393175546081,0.00039786503003639,0.00112131630885416,0.00196795710651424,0.00100430300723528,0.00152902806286906,0.00169581144872508,0.0021657306060447,0.00219033994587597,0.00204051594391425,0.00104605077495436,0.00144387289726228,0.00322110386761025,0.00138914836182089,0.0014839889437309,0.00110784198113057,0.0013444695192854,0.0017213092839959,0.00105064294564623,0.0016805817020236,0.00251233193424037,0.00183645617214659,0.00173876843367032
"AMGN",0.00128330671691779,0.000464190186802109,0.00155848373518482,0.000965841543780932,0.00170635533926671,0.00441384815183694,0.00013414367880451,0.000344815039522111,0.0012924273562554,0.000507372248163692,0.00112582982665355,0.00124447706699822,0.00135023721302325,0.00155248818427487,0.00111166911773414,0.00133429239152409,0.00128043319276969,0.00155283352028817,0.000325248805837907,0.00138357721864454,0.00228178362237642,0.00080324987731841,0.000956271837051962,0.00153957788185101,0.00197043978006298,0.00192631676553054,0.000894149653233889,0.00212673191896387,0.00183645617214659,0.0044706827754525,0.00181899789115368
"PFE",0.00140042264926046,0.00106293562570392,0.00164919239710772,0.000588416105148512,0.000908315508455055,0.0058122562207049,0.00037030020351108,0.000935511013107381,0.00144357281964565,-0.000375288437320991,0.00106279499218664,0.00089671526570331,0.000874385826683509,0.000935301652773436,0.00120598827145994,0.00134992754865896,0.00117895271969189,0.00156115264245816,0.000758164004585935,0.00153012123236565,0.00203735814160808,0.00107553217561754,0.00145749640418651,0.0017443887697437,0.000460879227873325,0.000931829899905183,0.000724984319834628,0.00203759731822448,0.00173876843367032,0.00181899789115368,0.00490677803061391
