a	b	c
2.184698019	-1.998626667	0.813928648
-1.009674368	-0.399456771	2.409131138
-0.789605396	-0.509079257	2.298684652
-1.349650563	-0.228400525	2.578051088
-0.774224067	-0.515854366	2.290078433
-1.567705313	-0.117465743	2.685171056
-0.189092685	-0.797387616	1.9864803
-0.949095126	-0.403424177	2.352519303
-0.319498276	-0.713187048	2.032685324
-1.517044588	-0.114261299	2.631305887
-0.775963622	-0.481887265	2.257850887
2.143498032	-1.941251869	0.797753838
1.129825739	-1.432508316	1.302682577
-0.352763451	-0.690755943	2.043519395
-1.017303995	-0.356578265	2.37388226
-0.563341166	-0.58333079	2.146671957
-0.578753014	-0.574449904	2.153202918
0.267860958	-0.996887112	1.729026154
0.042909024	-0.88225959	1.839350566
-0.230475784	-0.745017853	1.975493637
1.211004975	-1.465315714	1.254310739
-0.640644551	-0.538834803	2.179479354
-0.990569781	-0.362224189	2.35279397
-0.775139622	-0.460188604	2.235328227
-0.938474685	-0.37449263	2.312967315
-0.407910398	-0.634418775	2.042329173
-0.417249062	-0.629566332	2.046815394
0.579271828	-1.124271371	1.544999542
1.644978179	-1.653614917	1.008636738
-0.500839259	-0.577562792	2.078402051
-0.926755577	-0.360118412	2.286873989
-0.966948454	-0.339976196	2.30692465
-0.186895352	-0.726432081	1.913327433
-0.492049928	-0.561449019	2.053498947
0.034211249	-0.824396496	1.790185247
0.707602161	-1.161046175	1.453444014
-0.485976745	-0.551896725	2.03787347
-1.445173498	-0.071382794	2.516556291
0.164067507	-0.874629963	1.710562456
0.072847682	-0.819269387	1.746421705
-0.76351207	-0.398480178	2.161992248
-0.998260445	-0.275704215	2.27396466
-0.683584094	-0.430433058	2.114017151
0.037415693	-0.788232063	1.75081637
-1.769127476	0.11752678	2.651600696
-0.029786065	-0.75041963	1.780205695
-0.64619892	-0.440961943	2.087160863
0.187108982	-0.85586108	1.668752098
-0.830439161	-0.346201971	2.176641133
-0.573870052	-0.470259713	2.044129765
-0.423657949	-0.540665914	1.964323862
-0.0262154	-0.738517411	1.76473281
-0.709830012	-0.392895291	2.102725303
-1.319895016	-0.085421308	2.405316324
-0.048280282	-0.713980529	1.762260811
0.297433393	-0.886471145	1.589037751
0.379924924	-0.926755577	1.546830653
-0.499099704	-0.479781487	1.978881191
0.775048067	-1.115573595	1.340525529
-0.662068545	-0.395336772	2.057405316
-0.990752892	-0.230384228	2.22113712
0.525406659	-0.984344005	1.458937346
-1.432355724	-0.000885037	2.433240761
1.226264229	-1.328440199	1.10217597
1.789941099	-1.606006043	0.816064943
0.569627979	-0.994964446	1.425336467
-0.862117374	-0.276985992	2.139103366
0.259071627	-0.833552049	1.574480422
-0.507339702	-0.449751274	1.957090976
-0.974730674	-0.215369121	2.190099796
2.472029786	-1.938505203	0.466475417
0.587511826	-0.996093631	1.408581805
-0.865169225	-0.267921995	2.13309122
-0.790795618	-0.302346873	2.093142491
1.824427015	-1.608905301	0.784478286
-0.930784021	-0.230109561	2.160893582
0.060914945	-0.723868526	1.662953581
1.600573748	-1.491256447	0.890682699
-0.265175329	-0.558244575	1.823419904
-1.360026856	-0.010498367	2.370525224
-0.630787072	-0.371837519	2.002624592
0.546006653	-0.959624012	1.413617359
-0.430158391	-0.463850826	1.894009217
1.443403424	-1.399548326	0.956144902
1.122501297	-1.239020966	1.116519669
-0.815424055	-0.262245552	2.077669607
2.664906766	-1.999084445	0.334177679
0.044740135	-0.68877224	1.644032105
0.015625477	-0.674062319	1.658436842
0.409863582	-0.870357372	1.460493789
-1.475692007	0.07800531	2.397686697
0.588122196	-0.951384014	1.363261818
-0.761223182	-0.275612659	2.036835841
-0.176458022	-0.566118351	1.742576373
0.384044923	-0.84499649	1.460951567
-0.673512986	-0.316080203	1.989593188
-0.778527177	-0.263527329	2.042054506
0.273476363	-0.783532212	1.510055849
-0.798486282	-0.242286447	2.040772729
-0.311685537	-0.484725486	1.796411023
1.346049379	-1.313333537	0.967284158
0.186193426	-0.719931639	1.533738212
1.597369304	-1.423505356	0.826136052
0.402447584	-0.825861385	1.4234138
-0.297372356	-0.474684896	1.772057253
0.537583544	-0.891598254	1.35401471
-0.30240791	-0.46171453	1.76412244
2.713888974	-1.968718528	0.254829554
-0.000671407	-0.605121006	1.605792413
-1.513840144	0.158726768	2.355113376
-0.523209326	-0.336283456	1.859492782
0.731498154	-0.9635609	1.232062746
0.475356304	-0.83312479	1.357768487
1.722190008	-1.453566088	0.73137608
-0.056428724	-0.564104129	1.620532853
0.492080447	-0.837580493	1.345500046
2.38718833	-1.782097842	0.394909513
0.29606006	-0.732261116	1.436201056
-1.851985229	0.344126713	2.507858516
0.285897397	-0.72359386	1.437696463
2.478286081	-1.819635609	0.341349528
1.464308603	-1.311655019	0.847346416
0.700918607	-0.928586688	1.227668081
0.468550676	-0.809747612	1.341196936
-0.11609241	-0.511307108	1.627399518
1.766899625	-1.449140904	0.682241279
0.674916837	-0.901760918	1.226844081
-1.674214911	0.273018586	2.401196326
0.82534257	-0.970427564	1.145084994
1.123569445	-1.118472854	0.994903409
0.176854762	-0.64311655	1.466261788
-0.482070376	-0.307107761	1.789178137
2.829554125	-1.96047853	0.130924406
-1.389172033	0.14926603	2.239906003
-0.03521836	-0.525498215	1.560716575
-0.248786889	-0.418530839	1.667317728
-0.024842067	-0.529862362	1.554704428
0.211218604	-0.646961882	1.435743278
0.378551592	-0.729361858	1.350810266
2.861293374	-1.969481491	0.108188116
0.057100131	-0.560167241	1.50306711
0.422101505	-0.740043336	1.317941832
-0.504287851	-0.275551622	1.779839473
0.500045778	-0.774864956	1.274819178
-0.135013886	-0.456678976	1.591692862
0.88164922	-0.964751122	1.083101901
-0.746147038	-0.150425733	1.896572771
-1.502090518	0.22891934	2.273171178
0.357402264	-0.698873867	1.341471603
0.413892026	-0.726432081	1.312540056
-0.517136143	-0.250343333	1.767479476
0.089602344	-0.55220191	1.462599567
-0.094515824	-0.458723716	1.55323954
0.042451247	-0.525925474	1.483474227
1.693350017	-1.350718711	0.657368694
-0.988372448	-0.006988739	1.995361187
0.857936338	-0.929410688	1.071474349
1.61629078	-1.307687613	0.691396832
-1.287087619	0.146214179	2.14087344
0.006012146	-0.49671926	1.490707114
-1.123813593	0.068697165	2.055116428
0.647022919	-0.815576647	1.168553728
-0.932065798	-0.0245674	1.956633198
-0.637897885	-0.170598468	1.808496353
2.930722983	-1.944456313	0.013733329
0.539048433	-0.748222297	1.209173864
-0.378063295	-0.287148656	1.665211951
-1.58128605	0.314981536	2.266304514
0.82003235	-0.881893368	1.061861019
-0.989379559	0.024231697	1.965147862
-1.094363231	0.078157903	2.016205329
1.45515305	-1.196295053	0.741142003
1.011291849	-0.973082675	0.961790826
-0.834040345	-0.048493912	1.882534257
-0.31797235	-0.304544206	1.622516556
-1.767296365	0.421033357	2.346263009
-0.886989959	-0.01782281	1.904812769
0.966399121	-0.944364757	0.977965636
0.301736503	-0.611804559	1.310068056
-0.882168035	-0.018982513	1.901150548
1.144932402	-1.029053621	0.88412122
-0.195501572	-0.357463301	1.552964873
0.704306162	-0.806268502	1.10196234
1.006256294	-0.955229347	0.948973052
-0.750328074	-0.068605609	1.818933683
0.053529466	-0.467329936	1.41380047
0.951414533	-0.912198248	0.960783715
0.119815668	-0.493301187	1.373485519
0.381054109	-0.623310038	1.242255928
0.761986145	-0.811120945	1.0491348
0.14966277	-0.503769036	1.354106265
0.77333903	-0.813501389	1.040162358
1.207342753	-1.029969176	0.822626423
-1.855189673	0.502365184	2.352824488
0.511581774	-0.679555651	1.167973876
0.745231483	-0.795007172	1.049775689
-0.019074068	-0.411572619	1.430646687
-0.431257057	-0.201178014	1.632435072
0.924130985	-0.870265816	0.946134831
0.412030396	-0.612781152	1.200750755
-0.544053468	-0.133610034	1.677663503
-1.288918729	0.23975341	2.049165319
-1.602801599	0.397228919	2.20557268
-0.293465987	-0.256843776	1.550309763
2.161656545	-1.474776452	0.313119907
1.109073153	-0.933988464	0.824915311
0.36362804	-0.561082797	1.197454756
0.962034974	-0.859187597	0.897152623
0.440809351	-0.594683676	1.153874325
0.037415693	-0.391216773	1.35380108
-0.100009156	-0.320657979	1.420667135
-0.441877499	-0.147068697	1.588946196
1.161168249	-0.946989349	0.7858211
0.02661214	-0.379619739	1.353007599
2.29853206	-1.513229774	0.214697714
-0.884395886	0.079836421	1.804559465
-1.659566027	0.470473342	2.189092685
-0.054780725	-0.329264199	1.384044923
1.155583361	-0.925840022	0.770256661
-0.445905942	-0.122165593	1.568071535
0.879909665	-0.77825251	0.898342845
0.694051943	-0.683126316	0.989074374
0.443769646	-0.555253761	1.111484115
1.419293802	-1.041261025	0.621967223
0.527542955	-0.593859676	1.066316721
-0.151280251	-0.253456221	1.404736473
-0.213599048	-0.219855342	1.43345439
1.195226905	-0.923734245	0.72850734
2.475081637	-1.561296426	0.086214789
-0.450941496	-0.094698935	1.545640431
-0.198980682	-0.218573565	1.417554247
-0.618121891	-0.007812738	1.625934629
-0.908261361	0.139133885	1.769127476
-0.651631214	0.010956145	1.640675069
-0.02026429	-0.299783319	1.320047609
1.860896634	-1.239326151	0.378429518
-1.884945219	0.641376995	2.243568224
1.304361095	-0.951841792	0.647480697
-0.100283822	-0.24897	1.349253822
1.133945738	-0.865016633	0.731070894
0.357676931	-0.476302377	1.118625446
0.265846736	-0.429792169	1.163945433
-0.717307047	0.061983093	1.655323954
0.8374279	-0.712515641	0.875087741
-1.624164556	0.518997772	2.105166784
0.434492019	-0.507522813	1.073030793
-0.369853816	-0.101748711	1.471602527
0.599414045	-0.583788568	0.984374523
1.062746055	-0.813867611	0.751121555
0.392803735	-0.478652303	1.085848567
0.815088351	-0.689260537	0.874172185
0.07165746	-0.31653798	1.24488052
-0.442182684	-0.057344279	1.499526963
-0.784752953	0.115970336	1.668782617
1.244300668	-0.898373363	0.654072695
-0.856532487	0.159550768	1.696981719
0.626026185	-0.580492569	0.954466384
0.559648427	-0.54689169	0.987243263
0.399151585	-0.465498825	1.06634724
1.505050813	-1.01760918	0.512558367
1.017975402	-0.771477401	0.753501999
-0.335947752	-0.093874935	1.429822687
0.492446669	-0.50798059	1.015533921
-1.785760063	0.63145848	2.154301584
-1.132816553	0.305368206	1.827448347
-0.166844691	-0.17261269	1.339457381
1.26801355	-0.888393811	0.620380261
-1.832148198	0.6638081	2.168340098
1.231757561	-0.867885372	0.636127812
1.02273629	-0.758934294	0.736198004
1.328806421	-0.909726249	0.580919828
-0.423474837	-0.031342509	1.454817347
0.650685141	-0.567461165	0.916776025
-0.378704184	-0.048951689	1.427655873
-0.100558489	-0.186162908	1.286721397
0.985747856	-0.72542497	0.739677114
0.930265206	-0.69759209	0.767326884
1.4750206	-0.969145787	0.494125187
1.440809351	-0.948179571	0.50737022
2.09726249	-1.276253548	0.178991058
-0.697317423	0.122196112	1.575121311
-0.986449782	0.268410291	1.718039491
0.542527543	-0.495254372	0.952726829
0.797875912	-0.622882778	0.825006867
-0.489028596	0.023407697	1.465620899
1.721274453	-1.080782495	0.359508042
1.668935209	-1.051942503	0.383007294
-0.019623402	-0.207312235	1.226935636
0.550584429	-0.490676595	0.940092166
2.604480117	-1.513382366	-0.091097751
0.131626331	-0.275978881	1.14435255
0.383129368	-0.400860622	1.017731254
-1.348735008	0.465895566	1.882839442
-1.119388409	0.35236671	1.767021699
-0.710501419	0.148106326	1.562395093
0.347788934	-0.380535295	1.032746361
1.188909574	-0.79995117	0.611041597
1.562578204	-0.986785485	0.424207282
1.488845485	-0.947721793	0.458876308
0.512741478	-0.456678976	0.943937498
0.233436079	-0.316721091	1.083285012
0.408032472	-0.403698843	0.995666372
0.036500137	-0.217383343	1.180883206
-0.844538713	0.22318186	1.621356853
-0.801141392	0.202856532	1.59828486
-0.889736625	0.248908963	1.640827662
0.422589801	-0.405346843	0.982757042
2.412060915	-1.393902402	-0.018158513
-0.201086459	-0.086947233	1.288033692
0.099520859	-0.236945708	1.137424848
-1.930722983	0.77825251	2.152470473
0.804376354	-0.588549455	0.784173101
-0.449201941	0.040772729	1.408429212
-0.005066073	-0.180486465	1.185552538
1.431073946	-0.897274697	0.466200751
1.687704093	-1.023102512	0.335398419
0.854091006	-0.604388562	0.750297555
-0.765678884	0.208319346	1.557359539
-0.726432081	0.189123203	1.537308878
-0.634601886	0.143345439	1.491256447
-0.216925565	-0.064027833	1.280953398
-0.095492416	-0.124027223	1.219519639
0.06122013	-0.200628681	1.139408551
0.652516251	-0.496047853	0.843531602
0.073397015	-0.203375347	1.129978332
-0.152287362	-0.090487381	1.242774743
1.504776147	-0.914120914	0.409344768
-0.905056917	0.292123173	1.612933744
-0.723227638	0.202856532	1.520371105
2.620349742	-1.467604602	-0.15274514
-0.353709525	0.01965392	1.334055605
1.575640126	-0.942594684	0.366954558
0.922940764	-0.612903226	0.689962462
1.096102786	-0.696401868	0.600299081
0.509109775	-0.402691733	0.893581957
0.01208533	-0.152867214	1.140781884
-0.963194678	0.336893826	1.626300851
-1.168675802	0.443617054	1.725058748
-0.369182409	0.044465468	1.324716941
-0.331186865	0.025879696	1.305307169
0.467085788	-0.370921964	0.903836177
0.060945463	-0.167760247	1.106814783
0.622455519	-0.448377941	0.825922422
1.662800989	-0.967772454	0.304971465
-1.528946806	0.628711814	1.900234993
2.863734855	-1.56633198	-0.297402875
-0.036835841	-0.113193152	1.150028993
-1.321268349	0.530442213	1.790826136
1.181035798	-0.719382305	0.538346507
-0.385204627	0.063966796	1.321237831
1.228003784	-0.741172521	0.513168737
0.724082156	-0.488845485	0.764763329
1.686635945	-0.970000305	0.28336436
0.392651143	-0.320932646	0.928281503
0.800622578	-0.522446364	0.721823786
-1.827875607	0.793511765	2.034363842
0.964140751	-0.601733451	0.6375927
2.758445997	-1.495834223	-0.262611774
1.3259682	-0.776146733	0.450178533
1.215124973	-0.718527787	0.503402814
2.664448988	-1.440748314	-0.223700674
1.280648213	-0.748130741	0.467482528
1.167210913	-0.687520981	0.520310068
-0.675618763	0.234992523	1.44062624
1.348338267	-0.776055177	0.42771691
-0.151036103	-0.024689474	1.175725578
-0.755912961	0.282418287	1.473494675
0.849818415	-0.51985229	0.670033876
0.351451155	-0.267555773	0.916104617
-0.199438459	0.010864589	1.18857387
1.499404889	-0.833887753	0.334482864
1.638630329	-0.903500473	0.264870144
0.603961303	-0.383648183	0.77968688
1.839533677	-1.000518815	0.160985137
2.519486068	-1.338816492	-0.180669576
1.676351207	-0.915585803	0.239234596
-0.127018036	-0.010742515	1.137760552
1.347392193	-0.745384075	0.397991882
1.960539567	-1.048890652	0.088351085
0.58476516	-0.360240486	0.775475326
1.822138127	-0.973357341	0.151219214
0.498947111	-0.311685537	0.812738426
-0.805047761	0.340464492	1.46458327
1.35544908	-0.7383343	0.38288522
1.261970885	-0.691366314	0.429395428
0.563585314	-0.340983306	0.777397992
1.735679189	-0.927030244	0.191351054
2.413129063	-1.265572069	-0.147556993
-0.022095401	-0.037568285	1.059663686
1.108249153	-0.599627674	0.491378521
1.540299692	-0.814325388	0.274025697
0.987609485	-0.534958953	0.547349467
0.928434095	-0.502578814	0.574144719
0.746971038	-0.411664174	0.664693136
-0.101748711	0.014526811	1.0872219
-1.567552721	0.748802149	1.818750572
1.763786737	-0.915768914	0.151982177
-0.101443525	0.018494217	1.082949309
0.493362224	-0.27744377	0.784081545
-0.260414441	0.099490341	1.1609241
0.764824366	-0.410382397	0.645558031
1.234687338	-0.644306772	0.409619434
1.561357463	-0.805810724	0.244453261
-1.615771966	0.783135472	1.832636494
0.075869015	-0.061555834	0.985686819
0.870662557	-0.458265938	0.587603381
0.161015656	-0.102206488	0.941190832
2.244209113	-1.142124699	-0.102084414
-0.271584216	0.119724113	1.151860103
-0.182042909	0.075228126	1.106814783
-1.611346782	0.790917692	1.82042909
-0.505050813	0.239020966	1.266029847
-0.742027039	0.362743004	1.379284036
1.312509537	-0.661885434	0.349375896
1.231757561	-0.619678335	0.387920774
1.007721183	-0.505874813	0.49815363
-0.887752922	0.444074831	1.443678091
1.984344005	-0.988280892	0.003936888
1.49241615	-0.74016541	0.24774926
-0.15704825	0.084933012	1.072115238
-0.682760094	0.347972045	1.334788049
1.545609912	-0.76616718	0.220557268
0.001388592	0.007873775	0.990737632
1.108981597	-0.544602802	0.435621204
0.323343608	-0.149082919	0.825739311
0.006881924	0.00941496	0.983703116
1.509537034	-0.740256966	0.230719932
-0.252815332	0.141026032	1.1117893
0.014343699	0.007995849	0.977660451
1.130863369	-0.548814356	0.417950987
1.808465835	-0.887020478	0.078554643
-0.530991546	0.285683767	1.245307779
-0.170598468	0.107547227	1.063051241
2.838709677	-1.392986847	-0.445722831
0.021423994	0.017273476	0.96130253
-0.190740684	0.126041444	1.06469924
0.034897916	0.015991699	0.949110385
1.0626545	-0.497634816	0.434980316
0.55180517	-0.242133854	0.690328684
0.053132725	0.007721183	0.939146092
0.658314768	-0.29401532	0.635700552
0.047059542	0.015747551	0.937192907
-0.829248939	0.454359569	1.37488937
-0.925656911	0.504348888	1.421308023
1.198156682	-0.556688131	0.358531449
0.492812891	-0.20291757	0.710104678
0.089403974	0.000976592	0.909619434
0.014816736	0.039597766	0.945585498
0.021988586	0.036332286	0.941679128
0.086718345	0.004852443	0.908429212
-0.161534471	0.129795221	1.03173925
1.556962798	-0.729087191	0.172124393
0.098803674	0.000259407	0.900936918
1.916318247	-0.907803583	-0.008514664
1.823358867	-0.859523301	0.036164434
1.874629963	-0.884395886	0.009765923
2.002807703	-0.945585498	-0.057222205
0.082552568	0.015106662	0.90234077
0.853633229	-0.370372631	0.516739402
0.064958647	0.025376141	0.909665212
0.027390362	0.045365764	0.927243873
-0.70311594	0.412945952	1.290169988
0.115512558	0.007003998	0.877483444
0.031022065	0.049775689	0.919202246
0.170934172	-0.020111698	0.849177526
0.068453017	0.03132725	0.900219733
0.795312357	-0.330729087	0.53541673
0.132572405	0.001052889	0.866374706
1.505508591	-0.683431501	0.17792291
0.220526749	-0.040772729	0.820245979
1.677632984	-0.767662587	0.090029603
0.003021332	0.071962645	0.925016022
2.770958586	-1.311807611	-0.459150975
0.100466933	0.02519303	0.874340037
0.572466201	-0.210608234	0.638142033
1.06878872	-0.457808161	0.38901944
0.104373302	0.024750511	0.870876186
0.067430647	0.044618061	0.887951292
0.091647084	0.034165471	0.874187445
0.806482131	-0.323129978	0.516647847
0.007049776	0.077425459	0.915524766
0.046830653	0.058931242	0.894238105
1.582323679	-0.705648976	0.123325297
1.745750298	-0.786584063	0.040833766
1.267281106	-0.546983245	0.279702139
0.150440992	0.012543107	0.8370159
0.12428663	0.027176733	0.848536637
0.983184301	-0.402050844	0.418866543
0.142536699	0.018341624	0.839121677
0.044358654	0.069460128	0.886181219
0.751243629	-0.283028657	0.531785028
1.333475753	-0.573809015	0.240333262
0.181875057	0.002761925	0.815363018
0.131565294	0.027985473	0.840449232
0.158406323	0.014587848	0.827005829
-0.972899564	0.580889309	1.392010254
0.126789148	0.031907102	0.841303751
0.096514786	0.047181616	0.856303598
0.041398358	0.075212867	0.883388775
0.148457289	0.021729179	0.829813532
-0.761406293	0.477034822	1.284371471
0.15396588	0.019562365	0.826471755
0.16953032	0.012436293	0.818033387
0.068620869	0.063417463	0.867961669
0.083773309	0.056077761	0.86014893
0.178991058	0.008651997	0.812356944
0.039872433	0.080614643	0.879512925
0.020523698	0.090639973	0.888836329
0.084887234	0.058915983	0.856196783
2.442579424	-1.118778039	-0.323801386
-0.81716361	0.511856441	1.305307169
0.053834651	0.076754051	0.869411298
0.145481735	0.031723991	0.822794275
0.209356975	0.000488296	0.790154729
0.14824366	0.031266213	0.820490127
0.198767052	0.006805628	0.79442732
0.201666311	0.005859554	0.792474136
0.137882626	0.037781915	0.824335459
0.138248848	0.037965026	0.823786126
0.059068575	0.077944273	0.862987152
-0.445997497	0.331766717	1.114230781
-0.141392254	0.179509873	0.961882382
0.13063448	0.04422132	0.8251442
0.145115513	0.037308878	0.81757561
0.183492538	0.019760735	0.796746727
0.04484695	0.092272713	0.862880337
0.021729179	0.104571673	0.873699149
